Type;ID;X;Y;Z
2;1;65.6542;0;0
2;1;-27.3218;0;59.6992
2;1;-42.9145;0;-49.6873
2;1;63.0392;0;-18.3448
2;1;-9.55269;0;64.9556
2;1;-55.0886;0;-35.7173
2;1;55.4026;0;-35.2283
2;1;8.97738;0;65.0376
2;1;-62.8744;0;-18.9021
2;1;43.3526;0;-49.3055
2;1;26.7923;0;59.9387
2;1;-65.6517;0;-0.581126
2;1;27.8491;0;-59.4551
2;1;42.473;0;50.0652
2;1;-63.1991;0;17.7861
2;1;10.1273;0;-64.8685
2;1;54.7703;0;36.2035
2;1;-55.7122;0;34.7365
2;1;-8.40136;0;-65.1145
2;1;62.7046;0;19.4579
2;1;-43.7873;0;48.9198
2;1;-26.2607;0;-60.1735
2;1;65.6439;0;1.16221
2;1;-28.3743;0;59.2062
2;1;-42.0282;0;-50.4392
2;1;63.3541;0;-17.226
2;1;-10.701;0;64.7763
2;1;-54.4477;0;-36.6869
2;1;56.0175;0;-34.242
2;1;7.82468;0;65.1863
2;1;-62.5299;0;-20.0121
2;1;44.2186;0;-48.5303
2;1;25.7271;0;60.4036
2;1;-65.6311;0;-1.7432
2;1;28.8973;0;-58.9528
2;1;41.5801;0;50.8092
2;1;-63.5041;0;16.6646
2;1;11.274;0;-64.679
2;1;54.1208;0;37.1674
2;1;-56.3184;0;33.7449
2;1;-7.24739;0;-65.253
2;1;62.3504;0;20.5648
2;1;-44.6464;0;48.137
2;1;-25.1914;0;-60.629
2;1;65.6131;0;2.32405
2;1;-29.4179;0;58.6947
2;1;-41.1287;0;-51.1752
2;1;63.6491;0;-16.1018
2;1;-11.846;0;64.5767
2;1;-53.7897;0;-37.6449
2;1;56.6149;0;-33.245
2;1;6.66953;0;65.3146
2;1;-62.1659;0;-21.1159
2;1;45.0707;0;-47.74
2;1;24.6538;0;60.8496
2;1;-65.5899;0;-2.90472
2;1;29.9363;0;-58.432
2;1;40.6741;0;51.5373
2;1;-63.7891;0;15.5378
2;1;12.4171;0;-64.4693
2;1;53.4544;0;38.1196
2;1;-56.9069;0;32.7426
2;1;-6.09115;0;-65.3711
2;1;61.9766;0;21.6653
2;1;-45.4915;0;47.3392
2;1;-24.1142;0;-61.0654
2;1;65.5617;0;3.48516
2;1;-30.4523;0;58.1647
2;1;-40.2164;0;-51.8953
2;1;63.9242;0;-14.9726
2;1;-12.9873;0;64.3569
2;1;-53.1149;0;-38.5912
2;1;57.1945;0;-32.2376
2;1;5.51229;0;65.4224
2;1;-61.7824;0;-22.213
2;1;45.9088;0;-46.9347
2;1;23.5728;0;61.2764
2;1;-65.5282;0;-4.06533
2;1;30.966;0;-57.8929
2;1;39.7555;0;52.2492
2;1;-64.0542;0;14.4062
2;1;13.5564;0;-64.2394
2;1;52.7713;0;39.0599
2;1;-57.4776;0;31.7301
2;1;-4.933;0;-65.4686
2;1;61.5833;0;22.759
2;1;-46.3224;0;46.5265
2;1;-23.0295;0;-61.4827
2;1;65.4897;0;4.64518
2;1;-31.4772;0;57.6165
2;1;-39.2914;0;-52.5991
2;1;64.1792;0;-13.8387
2;1;-14.1245;0;64.1169
2;1;-52.4235;0;-39.5254
2;1;57.7562;0;-31.2201
2;1;4.35333;0;65.5097
2;1;-61.3795;0;-23.3032
2;1;46.7324;0;-46.1146
2;1;22.4844;0;61.6841
2;1;-65.446;0;-5.22467
2;1;31.9859;0;-57.3357
2;1;38.8243;0;52.9448
2;1;-64.2992;0;13.2701
2;1;14.6915;0;-63.9894
2;1;52.0716;0;39.9879
2;1;-58.0303;0;30.7077
2;1;-3.77331;0;-65.5457
2;1;61.1708;0;23.8456
2;1;-47.1388;0;45.6992
2;1;-21.9375;0;-61.8807
2;1;65.3972;0;5.80375
2;1;-32.4922;0;57.0503
2;1;-38.3542;0;-53.2864
2;1;64.4141;0;-12.7004
2;1;-15.2573;0;63.8568
2;1;-51.7156;0;-40.4472
2;1;58.2998;0;-30.1929
2;1;3.193;0;65.5765
2;1;-60.9573;0;-24.3861
2;1;47.5414;0;-45.2802
2;1;21.3889;0;62.0725
2;1;-65.3433;0;-6.38237
2;1;32.9959;0;-56.7605
2;1;37.881;0;53.6237
2;1;-64.524;0;12.1298
2;1;15.8219;0;-63.7193
2;1;51.3555;0;40.9034
2;1;-58.5648;0;29.6756
2;1;-2.61243;0;-65.6022
2;1;60.7391;0;24.9247
2;1;-47.9403;0;44.8576
2;1;-20.8387;0;-62.2594
2;1;65.2842;0;6.9605
2;1;-33.497;0;56.4662
2;1;-37.4049;0;-53.9569
2;1;64.6288;0;-11.5582
2;1;-16.3853;0;63.5767
2;1;-50.9915;0;-41.3563
2;1;58.8252;0;-29.1561
2;1;2.03166;0;65.6228
2;1;-60.5161;0;-25.4613
2;1;48.3355;0;-44.4315
2;1;20.2868;0;62.4414
2;1;-65.2201;0;-7.53807
2;1;33.9955;0;-56.1675
2;1;36.9258;0;54.2859
2;1;-64.7286;0;10.9857
2;1;16.9474;0;-63.4292
2;1;50.6234;0;41.8061
2;1;-59.0809;0;28.6343
2;1;-1.45074;0;-65.6382
2;1;60.2884;0;25.996
2;1;-48.7269;0;44.0019
2;1;-19.7333;0;-62.6185
2;1;65.1508;0;8.11506
2;1;-34.4913;0;55.8644
2;1;-36.4439;0;-54.6106
2;1;64.8233;0;-10.4123
2;1;-17.5081;0;63.2767
2;1;-50.2514;0;-42.2525
2;1;59.3321;0;-28.1102
2;1;0.869696;0;65.6485
2;1;-60.0559;0;-26.5286
2;1;49.1145;0;-43.5689
2;1;19.1783;0;62.7907
2;1;-65.0764;0;-8.69141
2;1;34.9844;0;-55.5569
2;1;35.9591;0;54.9311
2;1;-64.9129;0;9.83812
2;1;18.0675;0;-63.1193
2;1;49.8754;0;42.6957
2;1;-59.5786;0;27.5839
2;1;-0.288587;0;-65.6536
2;1;59.8187;0;27.0591
2;1;-49.4982;0;43.1325
2;1;-18.6217;0;-62.958
2;1;64.9969;0;9.26708
2;1;-35.4748;0;55.2451
2;1;-35.4715;0;-55.2472
2;1;64.9975;0;-9.26317
2;1;-18.6255;0;62.9569
2;1;65.6148;2.27499;0
2;1;-27.3054;2.27499;59.6634
2;1;-42.8887;2.27499;-49.6574
2;1;63.0014;2.27499;-18.3338
2;1;-9.54696;2.27499;64.9165
2;1;-55.0555;2.27499;-35.6958
2;1;55.3693;2.27499;-35.2071
2;1;8.97199;2.27499;64.9985
2;1;-62.8366;2.27499;-18.8907
2;1;43.3265;2.27499;-49.2759
2;1;26.7762;2.27499;59.9027
2;1;-65.6122;2.27499;-0.580777
2;1;27.8324;2.27499;-59.4193
2;1;42.4475;2.27499;50.0351
2;1;-63.1612;2.27499;17.7754
2;1;10.1212;2.27499;-64.8295
2;1;54.7374;2.27499;36.1818
2;1;-55.6788;2.27499;34.7157
2;1;-8.39631;2.27499;-65.0754
2;1;62.667;2.27499;19.4462
2;1;-43.761;2.27499;48.8905
2;1;-26.245;2.27499;-60.1374
2;1;65.6045;2.27499;1.16151
2;1;-28.3573;2.27499;59.1707
2;1;-42.0029;2.27499;-50.4089
2;1;63.3161;2.27499;-17.2157
2;1;-10.6946;2.27499;64.7374
2;1;-54.415;2.27499;-36.6648
2;1;55.9839;2.27499;-34.2215
2;1;7.81998;2.27499;65.1471
2;1;-62.4924;2.27499;-20.0001
2;1;44.192;2.27499;-48.5012
2;1;25.7116;2.27499;60.3673
2;1;-65.5917;2.27499;-1.74215
2;1;28.8799;2.27499;-58.9173
2;1;41.5551;2.27499;50.7787
2;1;-63.466;2.27499;16.6546
2;1;11.2672;2.27499;-64.6402
2;1;54.0883;2.27499;37.145
2;1;-56.2846;2.27499;33.7246
2;1;-7.24304;2.27499;-65.2138
2;1;62.3129;2.27499;20.5524
2;1;-44.6196;2.27499;48.1081
2;1;-25.1763;2.27499;-60.5925
2;1;65.5737;2.27499;2.32265
2;1;-29.4003;2.27499;58.6594
2;1;-41.104;2.27499;-51.1445
2;1;63.6109;2.27499;-16.0922
2;1;-11.8389;2.27499;64.5379
2;1;-53.7574;2.27499;-37.6223
2;1;56.5809;2.27499;-33.2251
2;1;6.66553;2.27499;65.2754
2;1;-62.1286;2.27499;-21.1032
2;1;45.0437;2.27499;-47.7113
2;1;24.639;2.27499;60.813
2;1;-65.5506;2.27499;-2.90297
2;1;29.9183;2.27499;-58.3969
2;1;40.6497;2.27499;51.5063
2;1;-63.7508;2.27499;15.5285
2;1;12.4097;2.27499;-64.4306
2;1;53.4223;2.27499;38.0967
2;1;-56.8727;2.27499;32.723
2;1;-6.08749;2.27499;-65.3318
2;1;61.9393;2.27499;21.6523
2;1;-45.4642;2.27499;47.3107
2;1;-24.0997;2.27499;-61.0287
2;1;65.5223;2.27499;3.48307
2;1;-30.434;2.27499;58.1298
2;1;-40.1922;2.27499;-51.8641
2;1;63.8858;2.27499;-14.9636
2;1;-12.9795;2.27499;64.3182
2;1;-53.083;2.27499;-38.5681
2;1;57.1602;2.27499;-32.2183
2;1;5.50898;2.27499;65.3831
2;1;-61.7453;2.27499;-22.1997
2;1;45.8812;2.27499;-46.9065
2;1;23.5586;2.27499;61.2396
2;1;-65.4889;2.27499;-4.06289
2;1;30.9474;2.27499;-57.8581
2;1;39.7316;2.27499;52.2178
2;1;-64.0157;2.27499;14.3975
2;1;13.5483;2.27499;-64.2008
2;1;52.7396;2.27499;39.0364
2;1;-57.4431;2.27499;31.7111
2;1;-4.93004;2.27499;-65.4293
2;1;61.5463;2.27499;22.7453
2;1;-46.2946;2.27499;46.4985
2;1;-23.0156;2.27499;-61.4458
2;1;65.4504;2.27499;4.64239
2;1;-31.4583;2.27499;57.5819
2;1;-39.2678;2.27499;-52.5675
2;1;64.1407;2.27499;-13.8304
2;1;-14.116;2.27499;64.0784
2;1;-52.392;2.27499;-39.5017
2;1;57.7215;2.27499;-31.2014
2;1;4.35071;2.27499;65.4704
2;1;-61.3426;2.27499;-23.2892
2;1;46.7043;2.27499;-46.0869
2;1;22.4709;2.27499;61.6471
2;1;-65.4067;2.27499;-5.22153
2;1;31.9667;2.27499;-57.3012
2;1;38.801;2.27499;52.913
2;1;-64.2606;2.27499;13.2621
2;1;14.6826;2.27499;-63.9509
2;1;52.0403;2.27499;39.9639
2;1;-57.9954;2.27499;30.6893
2;1;-3.77104;2.27499;-65.5063
2;1;61.1341;2.27499;23.8313
2;1;-47.1104;2.27499;45.6717
2;1;-21.9243;2.27499;-61.8436
2;1;65.3579;2.27499;5.80026
2;1;-32.4727;2.27499;57.016
2;1;-38.3311;2.27499;-53.2543
2;1;64.3754;2.27499;-12.6928
2;1;-15.2481;2.27499;63.8185
2;1;-51.6845;2.27499;-40.4229
2;1;58.2648;2.27499;-30.1747
